"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/22/2014","AQS","360290023","1","21","ppb","20","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/23/2014","AQS","360290023","1","21.3","ppb","20","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/24/2014","AQS","360290023","1","27.7","ppb","25","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/25/2014","AQS","360290023","1","24","ppb","23","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/26/2014","AQS","360290023","1","20.9","ppb","19","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/27/2014","AQS","360290023","1","27","ppb","25","Buffalo Near-Road","22","92.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/28/2014","AQS","360290023","1","34.1","ppb","32","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/29/2014","AQS","360290023","1","19.5","ppb","18","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/30/2014","AQS","360290023","1","23.4","ppb","22","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
"10/31/2014","AQS","360290023","1","19.7","ppb","18","Buffalo Near-Road","24","100.0000","42602","Nitrogen dioxide (NO2)","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.9211072796373","-78.7658253281598"
