"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2005","AQS","360050083","1","36","ppb","34","BOTANICAL GARDEN","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/02/2005","AQS","360050083","1","36","ppb","34","BOTANICAL GARDEN","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/03/2005","AQS","360050083","1","37","ppb","35","BOTANICAL GARDEN","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/04/2005","AQS","360050083","1","41","ppb","39","BOTANICAL GARDEN","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/05/2005","AQS","360050083","1","34","ppb","32","BOTANICAL GARDEN","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/06/2005","AQS","360050083","1","36","ppb","34","BOTANICAL GARDEN","21","88.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/07/2005","AQS","360050083","1","42","ppb","40","BOTANICAL GARDEN","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/08/2005","AQS","360050083","1","44","ppb","42","BOTANICAL GARDEN","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/09/2005","AQS","360050083","1","38","ppb","36","BOTANICAL GARDEN","24","100.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
"01/10/2005","AQS","360050083","1","33","ppb","31","BOTANICAL GARDEN","23","96.0000","42602","Nitrogen dioxide (NO2)","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.86585","-73.88083"
